[2026-06-15 14:43:15] [WARN] [LOGIN] User: admin | Details: Login failed - invalid credentials
[2026-06-15 18:28:32] [INFO] [LOGOUT] User: jeff.paragas | Details: User logged out
[2026-06-15 18:28:37] [INFO] [LOGIN] User: admin | Details: Login successful
[2026-06-15 18:29:01] [INFO] [LOGOUT] User: admin | Details: User logged out
[2026-06-15 18:29:07] [INFO] [LOGIN] User: jeff@gmail.com | Details: Login successful
[2026-06-15 18:37:14] [INFO] [LOGIN] User: admin | Details: Login successful
[2026-06-15 18:41:16] [INFO] [LOGOUT] User: admin | Details: User logged out
[2026-06-15 18:41:30] [INFO] [LOGIN] User: admin | Details: Login successful
[2026-06-15 18:47:45] [INFO] [LOGIN] User: jeff@gmail.com | Details: Login successful
[2026-06-15 18:48:38] [INFO] [LOGIN] User: jeff@gmail.com | Details: Login successful
[2026-06-15 18:49:18] [INFO] [LOGOUT] User: jeff.paragas | Details: User logged out
[2026-06-15 18:49:24] [INFO] [LOGIN] User: admin | Details: Login successful
[2026-06-15 18:49:43] [INFO] [LOGOUT] User: admin | Details: User logged out
[2026-06-15 18:50:08] [INFO] [LOGIN] User: jeff@gmail.com | Details: Login successful
[2026-06-15 18:54:22] [INFO] [LOGOUT] User: jeff.paragas | Details: User logged out
[2026-06-15 18:54:27] [WARN] [LOGIN] User: admin | Details: Login failed - invalid credentials
[2026-06-15 18:54:32] [INFO] [LOGIN] User: admin | Details: Login successful
[2026-06-15 18:58:21] [INFO] [LOGIN] User: admin | Details: Login successful
[2026-06-15 19:00:13] [INFO] [LOGIN] User: gecilie@gmail.com | Details: Login successful
[2026-06-15 19:02:10] [INFO] [LOGIN] User: jeff@gmail.com | Details: Login successful
[2026-06-15 19:04:20] [WARN] [LOGIN] User: admin | Details: Login failed - invalid credentials
[2026-06-15 19:04:21] [WARN] [LOGIN] User: admin | Details: Login failed - invalid credentials
[2026-06-15 19:04:25] [WARN] [LOGIN] User: admin | Details: Login failed - invalid credentials
[2026-06-15 19:04:29] [WARN] [LOGIN] User: admin | Details: Login failed - invalid credentials
[2026-06-15 19:04:33] [INFO] [LOGIN] User: admin | Details: Login successful
[2026-06-15 19:07:45] [INFO] [LOGIN] User: jeff@gmail.com | Details: Login successful
[2026-06-15 19:13:47] [INFO] [LOGIN] User: admin | Details: Login successful
[2026-06-15 19:14:05] [INFO] [LOGOUT] User: admin | Details: User logged out
[2026-06-15 19:14:17] [INFO] [LOGIN] User: jeff@gmail.com | Details: Login successful
[2026-06-15 19:15:32] [INFO] [LOGOUT] User: jeff.paragas | Details: User logged out
[2026-06-15 19:17:22] [INFO] [LOGIN] User: admin | Details: Login successful
[2026-06-15 19:24:35] [INFO] [LOGOUT] User: admin | Details: User logged out
[2026-06-15 19:25:04] [INFO] [LOGIN] User: franco@gmail.com | Details: Login successful
[2026-06-15 19:27:21] [INFO] [LOGOUT] User: francis.franco | Details: User logged out
[2026-06-16 21:43:49] [INFO] [LOGIN] User: admin | Details: Login successful
[2026-06-16 21:44:39] [INFO] [LOGOUT] User: admin | Details: User logged out
[2026-06-16 21:44:49] [INFO] [LOGIN] User: franco@gmail.com | Details: Login successful
